Hãng điện thoại	Model	Model App	Mã Sửa Chữa	Sửa Chữa	Sửa Chữa App	Mã LK	Linh Kiện	Loại Bảo Hành	Tiền linh kiện	Tiền Công Sửa	Mức Sửa
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-M101-Black	Thay bo mạch chính (đen)		72H06970-00M	Miếng tản nhiệt bo mạch chính 8S	YES	9000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-M101-Black	Thay bo mạch chính (đen)		72H06993-00M	Miếng tản nhiệt (nhỏ) bo mạch chính 8S	YES	6000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-M101-Black	Thay bo mạch chính (đen)		77H50001-00M	Miếng dán pin của 8S	YES	100000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-M101-Black	Thay bo mạch chính (đen)		99HSS098-02	Bo mạch chính 8S (đen)	YES	1960000	300000	M3
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-M101-Red	Thay bo mạch chính (đỏ)		72H06993-00M	Miếng tản nhiệt (nhỏ) bo mạch chính 8S	YES	6000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-M101-Red	Thay bo mạch chính (đỏ)		77H50001-00M	Miếng dán pin của 8S	YES	100000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-M101-Red	Thay bo mạch chính (đỏ)		99HSS097-02	Bo mạch chính 8S (đỏ)	YES	1960000	300000	M3
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-M101-White	Thay bo mạch chính (trắng)		72H06970-00M	Miếng tản nhiệt bo mạch chính 8S	YES	9000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-M101-White	Thay bo mạch chính (trắng)		72H06993-00M	Miếng tản nhiệt (nhỏ) bo mạch chính 8S	YES	6000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-M101-White	Thay bo mạch chính (trắng)		77H50001-00M	Miếng dán pin của 8S	YES	100000	0	Free
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-M101-White	Thay bo mạch chính (trắng)		99HSS098-02	Bo mạch chính 8S (đen)	YES	1960000	300000	M3
HTC	HTC 8S/ A620e/ PM59100 RIO#U	HTC Windows Phone 8S by HTC	HTC-M101-Yello	Thay bo mạch chính (vàng)		72H06970-00M	Miếng tản nhiệt bo mạch chính 8S	YES	9000	0	Free
