LDT		Model App	Mã Sửa Chữa	Sửa Chữa	Mã LK	Linh Kiện	Loại Bảo Hành	Tiền linh kiện	Tiền Công Sửa	Mức Sửa
Lenovo		Lenovo A269i	LNV-2.10	Thay Bo mạch chính	5B29A6MYK0	Bo mạch chính Lenovo A269i	YES	1090000	200000	M2
Lenovo		Lenovo A316i	LNV-2.10	Thay Bo mạch chính	5B29A467SH	Bo mạch chính Lenovo A316i	YES	1360000	200000	M2
Lenovo		Lenovo A319	LNV-2.10	Thay Bo mạch chính	5B29A6N43A	Bo mạch chính Lenovo A319	YES	1330000	250000	M2.5
Lenovo		Lenovo A328	LNV-2.10	Thay Bo mạch chính	5B29A6N2BT	Bo mạch chính Lenovo A328 8G	YES	2080000	250000	M2.5
Lenovo		Lenovo A369i	LNV-2.10	Thay Bo mạch chính	5P69A464Z8	Bo mạch chính Lenovo A369I	YES	960000	200000	M2
Lenovo		Lenovo A390	LNV-2.10	Thay Bo mạch chính	5B29A465B4	Bo mạch chính Lenovo A390	YES	1000000	200000	M2
Lenovo		Lenovo A5000	LNV-2.10	Thay Bo mạch chính	5B28C00738	Bo mạch chính Lenovo A5000	YES	1570000	250000	M2.5
Lenovo		Lenovo A516	LNV-2.10	Thay Bo mạch chính	5B29A464CN	Bo mạch chính Lenovo A516	YES	1300000	200000	M2
Lenovo		Lenovo A526	LNV-2.10	Thay Bo mạch chính	5B29A6MW51	Bo mạch chính Lenovo A526 (4G)	YES	1720000	200000	M2
Lenovo		Lenovo A536	LNV-2.10	Thay Bo mạch chính	5B29A6N0D9	Bo mạch chính 8G Lenovo A536	YES	1800000	250000	M2.5
Lenovo		Lenovo A6000	LNV-2.10	Thay Bo mạch chính	5B28C00654	Bo mạch chính Lenovo A6000	YES	1960000	300000	M3
Lenovo		Lenovo A680	LNV-2.10	Thay Bo mạch chính	5B29A4671W	Bo mạch chính Lenovo A680	YES	760000	250000	M2.5
Lenovo		Lenovo A706	LNV-2.10	Thay Bo mạch chính	SP69A43642	Bo mạch chính Lenovo A706	YES	2080000	200000	M2
Lenovo		Lenovo A850	LNV-2.10	Thay Bo mạch chính	5P69A464OV	Bo mạch chính Lenovo A850	YES	1530000	200000	M2
Lenovo		Lenovo A859	LNV-2.10	Thay Bo mạch chính	5B29A467PI	Bo mạch chính Lenovo A859	YES	1580000	200000	M2
Lenovo		Lenovo K900_16G	LNV-2.10	Thay Bo mạch chính	5B29A463W0	Bo mạch chính Lenovo K900	YES	4340000	200000	M2
Lenovo		Lenovo K900_32G	LNV-2.10	Thay Bo mạch chính	5B29A464CK	Bo mạch chính Lenovo K900_32G	YES	4450000	200000	M2
Lenovo		Lenovo K910L	LNV-2.10	Thay Bo mạch chính	5B29A4673A	Bo mạch chính Lenovo K910L	YES	4270000	200000	M2
Lenovo		Lenovo P700i	LNV-2.10	Thay Bo mạch chính	SP69A15470	Bo mạch chính Lenovo P700i	YES	1410000	200000	M2
Lenovo		Lenovo P70-A	LNV-2.10	Thay Bo mạch chính	5B28C00449	Bo mạch chính 16G Lenovo P70-A	YES	2680000	300000	M3
Lenovo		Lenovo P770	LNV-2.10	Thay Bo mạch chính	5P69A15684	Bo mạch chính Lenovo P770	YES	2090000	200000	M2
Lenovo		Lenovo P780_4G	LNV-2.10	Thay Bo mạch chính	5B29A462LE	Bo mạch chính Lenovo P780	YES	1850000	200000	M2
Lenovo		Lenovo P780_8G	LNV-2.10	Thay Bo mạch chính	5B29A4647N	Bo mạch chính Lenovo P780_8G	YES	2150000	200000	M2
Lenovo		Lenovo S580	LNV-2.10	Thay Bo mạch chính	5B29A6N2YN	Bo mạch chính Lenovo S580	YES	840000	300000	M3
Lenovo		Lenovo S650	LNV-2.10	Thay Bo mạch chính	5B29A4666J	Bo mạch chính Lenovo S650	YES	1440000	200000	M2
Lenovo		Lenovo S660	LNV-2.10	Thay Bo mạch chính	5B29A6MVXT	Bo mạch chính Lenovo S660	YES	2030000	300000	M3
Lenovo		Lenovo S820	LNV-2.10	Thay Bo mạch chính	5B29A462LD	Bo mạch chính Lenovo S820	YES	1790000	200000	M2
Lenovo		Lenovo S820_8G	LNV-2.10	Thay Bo mạch chính	5B29A4647L	Bo mạch chính Lenovo S820_8G	YES	1790000	200000	M2
Lenovo		Lenovo S850	LNV-2.10	Thay Bo mạch chính	5B29A6MYK4	Bo mạch chính Lenovo S850	YES	1810000	200000	M2
Lenovo		Lenovo S850	LNV-2.10	Thay Bo mạch chính	5D79A467EN	Miếng đệm loa sau Lenovo S850	YES	20000	200000	M2
Lenovo		Lenovo S860	LNV-2.10	Thay Bo mạch chính	5B29A6MW3E	Bo mạch chính Lenovo S860	YES	2160000	200000	M2
Lenovo		Lenovo S90-A_32G	LNV-2.10	Thay Bo mạch chính	5B28C00166	Bo mạch chính Lenovo S90-A	YES	2470000	300000	M3
Lenovo		Lenovo S920	LNV-2.10	Thay Bo mạch chính	SP69A45655	Bo mạch chính Lenovo S920 4G	YES	2000000	250000	M2.5
Lenovo		Lenovo S920_8G	LNV-2.10	Thay Bo mạch chính	5B29A464CB	Bo mạch chính Lenovo S920_8G	YES	1730000	200000	M2
Lenovo		Lenovo S930	LNV-2.10	Thay Bo mạch chính	5B29A465W1	Bo mạch chính Lenovo S930	YES	1710000	200000	M2
Lenovo		Lenovo S960	LNV-2.10	Thay Bo mạch chính	5B29A465BR	Bo mạch chính Lenovo S960	YES	2730000	200000	M2
Lenovo		Lenovo X2	LNV-2.10	Thay Bo mạch chính	5B29A6N4SY	Bo mạch chính Lenovo X2	YES	4780000	300000	M3
Lenovo		Lenovo A5000	LNV-2.11	Thay Bo Phụ	5P68C00749	Bo anten phụ Lenovo A5000	YES	80000	200000	M2
Lenovo		Lenovo A516	LNV-2.11	Thay Bo Phụ	SP69A44847	Bo phụ Lenovo A516	YES	100000	200000	M2
Lenovo		Lenovo A6000	LNV-2.11	Thay Bo Phụ	5P68C00653	Bo phụ Lenovo A6000	YES	40000	300000	M3
Lenovo		Lenovo A706	LNV-2.11	Thay Bo Phụ	SP69A44034	Bo phụ Lenovo A706	YES	60000	200000	M2
Lenovo		Lenovo A850	LNV-2.11	Thay Bo Phụ	5P69A464OY	Bo phụ Lenovo A850	YES	190000	200000	M2
Lenovo		Lenovo A859	LNV-2.11	Thay Bo Phụ	5P69A467PO	Bo phụ Lenovo A859	YES	110000	200000	M2
Lenovo		Lenovo K900_16G	LNV-2.11	Thay Bo Phụ	5F79A4640R	Cáp phụ (Micro, chuông, jack sạc/ tai nghe) Lenovo K900	YES	490000	200000	M2
Lenovo		Lenovo K900_32G	LNV-2.11	Thay Bo Phụ	5F79A4640R	Cáp phụ (Micro, chuông, jack sạc/ tai nghe) Lenovo K900	YES	490000	200000	M2
Lenovo		Lenovo P70-A	LNV-2.11	Thay Bo Phụ	5P68C00466	Bo phụ Lenovo P70-A	YES	50000	300000	M3
Lenovo		Lenovo P770	LNV-2.11	Thay Bo Phụ	5P69A15269	Bo phụ Lenovo P770	YES	140000	200000	M2
Lenovo		Lenovo P780_4G	LNV-2.11	Thay Bo Phụ	SP69A15601	Bo phụ Lenovo P780_8G	YES	120000	200000	M2
Lenovo		Lenovo P780_8G	LNV-2.11	Thay Bo Phụ	SP69A15601	Bo phụ Lenovo P780_8G	YES	120000	200000	M2
Lenovo		Lenovo S580	LNV-2.11	Thay Bo Phụ	5P69A6N2YF	Bo phụ Lenovo S580	YES	10000	250000	M2.5
Lenovo		Lenovo S650	LNV-2.11	Thay Bo Phụ	SP69A4629X	Bo phụ Lenovo S650	YES	110000	200000	M2
Lenovo		Lenovo S660	LNV-2.11	Thay Bo Phụ	5P69A6MVY8	Bo phụ Lenovo S660	YES	610000	200000	M2
Lenovo		Lenovo S820	LNV-2.11	Thay Bo Phụ	SP69A15532	Bo phụ Lenovo S820_8G	YES	140000	200000	M2
Lenovo		Lenovo S820_8G	LNV-2.11	Thay Bo Phụ	SP69A15532	Bo phụ Lenovo S820_8G	YES	140000	200000	M2
Lenovo		Lenovo S860	LNV-2.11	Thay Bo Phụ	5P69A6MW3F	Bo phụ Lenovo S860	YES	200000	200000	M2
Lenovo		Lenovo S920	LNV-2.11	Thay Bo Phụ	5P69A15507	Bo phụ Lenovo S920	YES	110000	200000	M2
Lenovo		Lenovo S930	LNV-2.11	Thay Bo Phụ	SP69A462NL	Bo phụ Lenovo S930	YES	150000	200000	M2
Lenovo		Lenovo X2	LNV-2.11	Thay Bo Phụ	5P69A6N4T8	Bo phụ Lenovo X2	YES	260000	300000	M3
Lenovo		Lenovo P780_4G	LNV-2.12	Thay Bo SIM	SP69A15602	Bo SIM Lenovo P780_8G	YES	70000	200000	M2
Lenovo		Lenovo P780_8G	LNV-2.12	Thay Bo SIM	SP69A15602	Bo SIM Lenovo P780_8G	YES	70000	200000	M2
Lenovo		Lenovo A319	LNV-2.200	Thay Màn hình có cảm ứng	5D69A6N43B	Màn hình có cảm ứng Lenovo A319	YES	800000	200000	M2
Lenovo		Lenovo A526	LNV-2.200	Thay Màn hình có cảm ứng	5D69A6MW4Y	Màn hình có cảm ứng Lenovo A526	YES	1320000	200000	M2
Lenovo		Lenovo A6000	LNV-2.200	Thay Màn hình có cảm ứng	5D68C00655	Màn hình có cảm ứng Lenovo A6000	YES	1150000	300000	M3
Lenovo		Lenovo K900_16G	LNV-2.200	Thay Màn hình có cảm ứng	SD19A39424	Màn hình có cảm ứng Lenovo K900	YES	2780000	300000	M3
