LDT	Model	Mã SC	Sửa Chữa	Mã LK	Linh Kiện	Loại Bảo Hành	Tiền Công Sửa
Alcatel	Alcatel One Touch California (VN)/ 6012D	046	Thay màn hình có cảm ứng	AUC430T101C1	Màn hình có cảm ứng OT-6012D	NO	
Alcatel	Alcatel One Touch California (VN)/ 6012D	036	Đổi board bằng IMEI mới	CPF0000011C0	Tem hộp 2010X	YES	
Alcatel	Alcatel One Touch California (VN)/ 6012D	047	Thay phím nghuồn	SBF17U00021B	Dây phím nguồn 6012D	NO	
Alcatel	Alcatel One Touch California (VN)/ 6012D	039	Thay phím volume	SBF17U00031A	Dây phím âm thanh 6012D	NO	
Alcatel	Alcatel One Touch California (VN)/ 6012D	036	Đổi board bằng IMEI mới	TA74-3DS04303AAAA	Tem dán hộp niêm phong máy mới (nhiều model)	YES	
Alcatel	Alcatel One Touch Idol 2 Mini (VN)/ 6016X	046	Thay màn hình có cảm ứng	CPE000166AC0	Đề can dán IMEI P320X	REFURBISH	
Alcatel	Alcatel One Touch Idol 2 Mini (VN)/ 6016X	001	Thay Loa	TA74-3DS04303AAAA	Tem dán hộp niêm phong máy mới (nhiều model)	REFURBISH	
Alcatel	Alcatel One Touch Idol 2 Mini (VN)/ 6016X	046	Thay màn hình có cảm ứng	TA74-3DS04303AAAA	Tem dán hộp niêm phong máy mới (nhiều model)	REFURBISH	
Alcatel	Alcatel One Touch Idol X+ (VN)/ 6043D	005	Thay màn hình	AUC497T114C1	Màn hình có cảm ứng OT-6043D (đen)	NO	
Alcatel	Alcatel One Touch Pop C1 (VN)/ Yaris 3.5/ 4015D	004	Thay cảm ứng	AUE27G0A10C1	Cảm ứng 4015D	YES	
Alcatel	Alcatel One Touch Pop C1 (VN)/ Yaris 3.5/ 4015D	006	Thay Camera	ASA0301101C1	Camera 4015D/1045D	YES	
Alcatel	Alcatel One Touch Pop C1 (VN)/ Yaris 3.5/ 4015D	005	Thay màn hình	AUA347T213C1	Màn hình 4016A	YES	
Alcatel	Alcatel One Touch Pop C1 (VN)/ Yaris 3.5/ 4015D	002	Thay Micro	AWC4015P22C1	Micro 4015D	YES	
Alcatel	Alcatel One Touch Pop C1 (VN)/ Yaris 3.5/ 4015D	019	Thay ổ sim	TA74-3DS04303AAAA	Tem dán hộp niêm phong máy mới (nhiều model)	REFURBISH	
Alcatel	Alcatel One Touch Pop C1 (VN)/ Yaris 3.5/ 4015D	008	Thay Main Board	F-B27G2ALVN2	Bo mạch chính Alcatel Yaris-3.5/ 4015D	YES	
Alcatel	Alcatel One Touch Pop C1 (VN)/ Yaris 3.5/ 4015D	017	Thay pin	CAB31P0000C1	Pin sạc 1300mAh OT-4015D	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	017	Thay pin	CAB32E0000C1	Pin sạc 1800mAh Alcatel 5036D/997D	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	028	Thay sạc	CBA3008AA0C1	Bộ sạc kg cáp USB 550mA OT-4015D/6012D/5036D	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	044	Làm mới máy (trắng)	CJB27E202AAA	Sách hướng dẫn sử dụng 5036D	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	044	Làm mới máy (trắng)	BNH27E0051C4	Miếng dán bảo vệ cảm ứng 5036D	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	026	Vệ sinh tổng quát	BNH27E0051C4	Miếng dán bảo vệ cảm ứng 5036D	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	026	Vệ sinh tổng quát	BPC27E2000C0	Đề can dán máy mới 5036D	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	026	Vệ sinh tổng quát	BPC27E2000C0	Đề can dán máy mới 5036D	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	044	Làm mới máy (trắng)	BPC27E2000C0	Đề can dán máy mới 5036D	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	026	Vệ sinh tổng quát	CPF0000011C0	Tem hộp 2010X	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	026	Vệ sinh tổng quát	CPF0000011C0	Tem hộp 2010X	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	044	Làm mới máy (trắng)	CKA27E2000CB	Hộp giấy đựng điện thoại di động OT-5036D	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	026	Vệ sinh tổng quát	CKA27E2000CB	Hộp giấy đựng điện thoại di động OT-5036D	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	026	Vệ sinh tổng quát	CKA27E2000CB	Hộp giấy đựng điện thoại di động OT-5036D	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	026	Vệ sinh tổng quát	CNC1000004C0	Túi nhựa đựng máy 6012D	YES	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	044	Làm mới máy (trắng)	CNC1000004C0	Túi nhựa đựng máy 6012D	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	044	Làm mới máy (trắng)	CNC1000004C0	Túi nhựa đựng máy 6012D	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	044	Làm mới máy (trắng)	TA74-3DS04303AAAA	Tem dán hộp niêm phong máy mới (nhiều model)	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	026	Vệ sinh tổng quát	TA74-3DS04303AAAA	Tem dán hộp niêm phong máy mới (nhiều model)	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	004	Thay cảm ứng	AUE27E0A1BC1	Cảm ứng (đen) OT-5036D	NO	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	026	Vệ sinh tổng quát	CPG27E001AC0	(Không order nữa có thể sử dụng CPF0000011C0) Tem hướng dẫn 5036D	REFURBISH	
Alcatel	Alcatel One Touch Pop C5 (VN)/ Yaris 4.5/ 5036D	026	Vệ sinh tổng quát	CPG27E001AC0	(Không order nữa có thể sử dụng CPF0000011C0) Tem hướng dẫn 5036D	YES	
